webpage_name,domain
1,www.bestbuy.com
3,www.bestbuy.com
5,www.walmart.com
6,www.bestbuy.com
7,www.walmart.com
8,www.walmart.com
9,www.lenovo.com
11,www.staples.com
12,www.hsn.com
13,www.walmart.com
14,www.target.com
15,www.dell.com
17,www.walmart.com
18,www.bestbuy.com
21,www.walmart.com
22,www.bestbuy.com
29,www.hsn.com
30,www.dell.com
31,www.bestbuy.com
32,www.bestbuy.com
33,www.staples.com
34,www.hsn.com
36,www.target.com
38,www.bestbuy.com
40,www.walmart.com
41,www.walmart.com
43,www.walmart.com
44,www.walmart.com
46,www.officedepot.com
47,www.lenovo.com
48,www.walmart.com
49,www.dell.com
50,www.dell.com
51,www.lenovo.com
52,www.walmart.com
53,www.officedepot.com
54,www.dell.com
55,www.lenovo.com
56,www.bestbuy.com
57,www.amazon.com
58,www.lenovo.com
59,www.walmart.com
62,www.walmart.com
63,www.lenovo.com
64,www.lenovo.com
65,www.dell.com
66,www.lenovo.com
67,www.dell.com
68,www.lenovo.com
69,www.dell.com
71,www.buyvpc.com
72,www.lenovo.com
73,www.bhphotovideo.com
74,www.walmart.com
75,www.officedepot.com
76,www.lenovo.com
77,www.dell.com
79,www.lenovo.com
80,www.dell.com
81,www.bhphotovideo.com
82,www.lenovo.com
83,www.bestbuy.com
86,www.walmart.com
87,www.dell.com
89,www.lenovo.com
90,www.walmart.com
94,www.lenovo.com
96,www.dell.com
97,www.walmart.com
101,www.walmart.com
106,www.lenovo.com
110,www.officedepot.com
112,www.walmart.com
115,www.bestbuy.com
117,www.walmart.com
119,www.walmart.com
121,www.walmart.com
122,www.amazon.com
125,www.dell.com
128,www.lenovo.com
129,www.walmart.com
134,www.walmart.com
135,www.amazon.com
137,www.dell.com
139,www.dell.com
141,www.lenovo.com
142,www.amazon.com
143,www.walmart.com
144,www.lenovo.com
146,www.bestbuy.com
150,www.dell.com
151,www.walmart.com
152,www.lenovo.com
155,www.dell.com
156,www.amazon.com
157,www.walmart.com
158,www.walmart.com
159,www.amazon.com
161,www.amazon.com
162,www.walmart.com
166,www.amazon.com
167,www.walmart.com
168,www.lenovo.com
171,www.lenovo.com
172,www.lenovo.com
174,www.dell.com
175,www.dell.com
177,www.lenovo.com
179,www.lenovo.com
180,www.dell.com
181,www.walmart.com
183,www.walmart.com
184,www.amazon.com
186,www.pcnation.com
187,www.amazon.com
188,www.walmart.com
189,www.lenovo.com
192,www.lenovo.com
193,www.walmart.com
194,www.walmart.com
195,www.walmart.com
197,www.ecrater.com
198,www.walmart.com
201,www.walmart.com
203,www.ebay.com
204,www.bhphotovideo.com
209,www.walmart.com
210,www.ebay.com
214,www.walmart.com
215,www.ebay.com
216,www.dell.com
217,www.ebay.com
219,www.amazon.com
222,www.dell.com
225,www.amazon.com
227,www.qvc.com
230,www.amazon.com
233,www.dell.com
235,www.lenovo.com
238,www.walmart.com
241,www.buyburg.com
242,www.walmart.com
243,www.amazon.com
246,www.amazon.com
247,www.walmart.com
248,www.walmart.com
249,www.walmart.com
252,www.walmart.com
257,www.walmart.com
258,www.ebay.com
259,www.amazon.com
260,www.lenovo.com
261,www.amazon.com
262,www.amazon.com
263,www.lenovo.com
264,www.walmart.com
265,www.lenovo.com
268,www.lenovo.com
269,www.buya.com
273,www.lenovo.com
275,www.ecrater.com
276,www.amazon.com
277,www.amazon.com
279,www.ebay.com
280,www.lenovo.com
283,www.amazon.com
285,www.walmart.com
286,www.walmart.com
289,www.lenovo.com
290,www.dell.com
291,www.lenovo.com
292,www.ecrater.com
293,www.dell.com
294,www.dell.com
295,www.dell.com
296,www.dell.com
300,www.bestbuy.com
301,www.walmart.com
303,www.bestbuy.com
304,www.bestbuy.com
305,www.bestbuy.com
307,www.walmart.com
308,www.walmart.com
309,www.walmart.com
310,www.bestbuy.com
311,www.bestbuy.com
312,www.walmart.com
313,www.bestbuy.com
314,www.bestbuy.com
315,www.bestbuy.com
316,www.walmart.com
317,www.bestbuy.com
318,www.bestbuy.com
319,www.walmart.com
320,www.bestbuy.com
321,www.bestbuy.com
322,www.bestbuy.com
323,www.bestbuy.com
324,www.bestbuy.com
325,www.bestbuy.com
326,www.walmart.com
327,www.walmart.com
328,www.bestbuy.com
329,www.bestbuy.com
330,www.walmart.com
